01bf0015-d0e9-4b10-93ca-89e5a616d31b;А;Ампер
06f68849-3e99-4f36-9650-a2687a82f465;В;Вольт
146f80c8-b857-4d58-8245-65fb9a8b048e;Гц;Герц
1c39318a-806e-461e-b412-38047f9cd265;Градус;Градус(угол)
23b35f9b-a699-4bed-be1a-a28e3fd6d55d;т;тонна
3006e346-85b4-40a3-ac2f-a63cd0fe5db5;м³/ч;метр кубический в час
45162f95-824e-4d88-90ac-6384973c52b8;т/ч;тонн в час
78493428-e5ab-49d0-815d-70aede4aa4c2;кВА;Киловольт-ампер
903419f1-177e-4881-bdd9-757965bf0757;°C;Градус Цельсия
959d5fe1-29fe-441f-988d-4a57543c5232;сек.;секунда
a3bf7d60-2b8e-43fc-aae0-c1c66106d660;кВт*ч;Киловатт-час
a9cf9822-3465-4de7-8ff8-10c0395ee29b;мин.;минута
abca323e-dc43-4ff3-a6cf-5bc4317dffc8;кВар*ч;Киловар-час
c1ebaac1-5aca-4f3e-a560-5c2f67ab7c6e;м³;метр кубический
eff414fc-a0cb-4bf9-8ff6-1b0a1711e32d;Вт;Ватт
fac1bc47-3c2c-4276-bbae-14dccb5f643a;МПа;Мегапаскаль
75bb8d6c-1f15-4861-97dc-1a523342ee8c;кВт;Активная мощность (P)
8aac7617-2097-4b30-ba36-82eabc0c3df8;кВАр;Реактивная мощность (Q)
36f4e249-8173-4c78-ab13-75868f2dd57f;Гкал;Для учёта тепла
620b855b-e6b9-426c-9e34-e4b216bfaa41;Ч;Часы. Для учета времени
189b41f4-b792-4960-b222-4542153b55d3;кг;килограмм
01137f32-fe74-4b36-b2e9-4dd753e99309;Дж;Джоуль
